,date,category,sales,quantity,profit,region
0,2020-01-01,Clothing,154.47,1,14.89,South
1,2020-01-02,Clothing,221.2,16,12.51,East
2,2020-01-03,Grocery,109.97,2,13.48,West
3,2020-01-04,Electronics,682.29,17,167.35,East
4,2020-01-05,Furniture,442.09,9,116.74,West
5,2020-01-06,Electronics,763.89,13,85.58,South
6,2020-01-07,Grocery,622.98,5,110.19,South
7,2020-01-08,Furniture,518.86,2,126.64,West
8,2020-01-09,Electronics,864.23,18,160.19,North
9,2020-01-10,Electronics,636.4,18,99.49,South
10,2020-01-11,Electronics,715.45,8,213.32,East
11,2020-01-12,Clothing,159.53,6,43.06,West
12,2020-01-13,Clothing,763.74,14,59.14,West
13,2020-01-14,Clothing,250.48,17,48.72,East
14,2020-01-15,Electronics,703.8,11,153.69,East
15,2020-01-16,Electronics,911.85,12,178.82,West
16,2020-01-17,Clothing,975.43,5,243.27,West
17,2020-01-18,Electronics,720.67,11,49.7,South
18,2020-01-19,Furniture,799.66,2,133.79,West
19,2020-01-20,Clothing,515.77,2,46.09,North
20,2020-01-21,Furniture,926.44,10,71.99,West
21,2020-01-22,Clothing,945.23,19,121.77,West
22,2020-01-23,Clothing,519.64,12,63.79,East
23,2020-01-24,Electronics,827.75,9,142.7,South
24,2020-01-25,Furniture,482.82,8,85.58,East
25,2020-01-26,Furniture,763.43,11,43.54,North
26,2020-01-27,Furniture,501.5,12,87.88,South
27,2020-01-28,Electronics,114.76,4,22.09,West
28,2020-01-29,Electronics,625.34,4,73.09,East
29,2020-01-30,Furniture,390.13,4,25.48,West
30,2020-01-31,Electronics,890.7,4,66.85,North
31,2020-02-01,Furniture,107.46,1,14.04,East
32,2020-02-02,Furniture,283.26,18,43.34,North
33,2020-02-03,Clothing,743.25,4,196.76,East
34,2020-02-04,Electronics,388.21,17,70.73,South
35,2020-02-05,Electronics,556.73,16,40.01,West
36,2020-02-06,Grocery,671.64,6,112.79,North
37,2020-02-07,Furniture,913.95,3,58.78,East
38,2020-02-08,Grocery,837.08,7,149.69,South
39,2020-02-09,Grocery,316.25,6,70.14,North
40,2020-02-10,Electronics,587.7,2,91.48,South
41,2020-02-11,Grocery,691.69,15,120.0,North
42,2020-02-12,Furniture,436.19,7,77.59,North
43,2020-02-13,Clothing,890.29,11,92.0,North
44,2020-02-14,Electronics,245.46,1,22.24,South
45,2020-02-15,Clothing,571.58,12,149.69,South
46,2020-02-16,Grocery,942.23,11,184.84,West
47,2020-02-17,Furniture,753.69,8,123.45,West
48,2020-02-18,Furniture,732.16,18,79.45,East
49,2020-02-19,Electronics,855.25,1,54.12,South
50,2020-02-20,Grocery,805.63,4,108.83,North
51,2020-02-21,Grocery,798.76,18,138.19,North
52,2020-02-22,Electronics,876.22,1,81.26,West
53,2020-02-23,Grocery,782.3,19,39.78,East
54,2020-02-24,Clothing,166.57,10,22.68,West
55,2020-02-25,Clothing,762.15,14,149.2,West
56,2020-02-26,Clothing,832.59,4,90.47,West
57,2020-02-27,Furniture,786.01,3,108.7,West
58,2020-02-28,Electronics,676.66,15,165.74,South
59,2020-02-29,Clothing,626.37,16,60.44,East
60,2020-03-01,Electronics,100.09,18,23.99,East
61,2020-03-02,Grocery,254.97,1,26.72,West
62,2020-03-03,Grocery,879.97,9,52.64,South
63,2020-03-04,Clothing,261.3,3,42.27,East
64,2020-03-05,Furniture,380.26,6,96.03,South
65,2020-03-06,Clothing,311.2,5,26.31,South
66,2020-03-07,Furniture,636.6,12,164.02,North
67,2020-03-08,Grocery,998.16,19,195.14,East
68,2020-03-09,Grocery,254.29,1,19.78,North
69,2020-03-10,Furniture,832.53,3,236.09,East
70,2020-03-11,Clothing,219.5,9,42.13,South
71,2020-03-12,Clothing,356.78,1,70.48,North
72,2020-03-13,Clothing,772.01,4,67.72,North
73,2020-03-14,Clothing,253.04,8,31.09,South
74,2020-03-15,Grocery,362.54,13,52.96,West
75,2020-03-16,Clothing,496.43,11,42.22,North
76,2020-03-17,Electronics,828.27,2,106.7,South
77,2020-03-18,Grocery,744.77,3,78.41,North
78,2020-03-19,Furniture,513.03,4,87.8,North
79,2020-03-20,Furniture,962.32,6,79.76,West
80,2020-03-21,Grocery,629.43,14,95.26,West
81,2020-03-22,Electronics,155.36,6,24.43,East
82,2020-03-23,Electronics,681.27,6,58.35,East
83,2020-03-24,Clothing,519.9,17,51.26,South
84,2020-03-25,Furniture,368.59,15,52.9,East
85,2020-03-26,Clothing,865.54,11,53.01,South
86,2020-03-27,Grocery,214.58,6,24.51,South
87,2020-03-28,Electronics,618.69,3,179.46,West
88,2020-03-29,Clothing,460.16,4,37.78,West
89,2020-03-30,Electronics,860.71,16,206.98,East
90,2020-03-31,Clothing,108.68,9,30.2,South
91,2020-04-01,Clothing,532.62,12,92.72,South
92,2020-04-02,Clothing,709.2,19,151.69,South
93,2020-04-03,Furniture,732.83,19,164.86,East
94,2020-04-04,Grocery,111.09,9,23.12,South
95,2020-04-05,Clothing,541.96,10,115.6,East
96,2020-04-06,Electronics,152.26,18,36.53,North
97,2020-04-07,Electronics,743.6,10,84.94,West
98,2020-04-08,Furniture,115.12,12,7.21,East
99,2020-04-09,Electronics,496.72,13,118.67,North
100,2020-04-10,Clothing,625.21,16,141.66,South
101,2020-04-11,Electronics,393.53,7,30.88,East
102,2020-04-12,Clothing,250.98,19,15.34,West
103,2020-04-13,Furniture,175.23,15,42.23,North
104,2020-04-14,Clothing,169.09,5,50.08,South
105,2020-04-15,Clothing,685.79,16,42.8,East
106,2020-04-16,Grocery,297.37,9,34.32,South
107,2020-04-17,Furniture,881.49,4,137.1,South
108,2020-04-18,Clothing,192.24,12,50.97,South
109,2020-04-19,Furniture,939.1,12,52.05,North
110,2020-04-20,Furniture,220.94,4,45.79,West
111,2020-04-21,Grocery,987.51,17,211.32,West
112,2020-04-22,Grocery,342.56,10,54.16,South
113,2020-04-23,Furniture,943.31,16,61.75,East
114,2020-04-24,Grocery,232.64,10,41.78,South
115,2020-04-25,Clothing,118.13,17,12.07,East
116,2020-04-26,Furniture,102.09,6,14.49,South
117,2020-04-27,Furniture,995.8,18,69.8,West
118,2020-04-28,Furniture,431.57,10,115.52,West
119,2020-04-29,Grocery,772.64,15,138.0,East
120,2020-04-30,Electronics,157.84,11,30.69,East
121,2020-05-01,Grocery,458.86,3,115.21,South
122,2020-05-02,Electronics,749.95,9,56.42,West
123,2020-05-03,Grocery,837.6,11,41.89,West
124,2020-05-04,Clothing,267.9,15,43.75,South
125,2020-05-05,Electronics,695.95,17,186.65,East
126,2020-05-06,Furniture,167.09,12,31.35,West
127,2020-05-07,Grocery,176.34,7,37.77,South
128,2020-05-08,Furniture,468.68,14,70.27,West
129,2020-05-09,Grocery,619.87,6,172.02,South
130,2020-05-10,Furniture,589.54,6,54.35,West
131,2020-05-11,Furniture,504.54,10,132.5,East
132,2020-05-12,Clothing,955.08,19,173.68,East
133,2020-05-13,Grocery,350.02,4,60.22,South
134,2020-05-14,Grocery,713.45,6,202.83,West
135,2020-05-15,Grocery,249.35,4,36.49,East
136,2020-05-16,Clothing,794.05,10,88.29,West
137,2020-05-17,Grocery,374.46,9,109.68,South
138,2020-05-18,Clothing,366.11,4,95.47,North
139,2020-05-19,Furniture,375.37,5,33.71,South
140,2020-05-20,Furniture,694.53,2,36.05,South
141,2020-05-21,Clothing,955.46,10,259.95,West
142,2020-05-22,Grocery,619.62,10,71.98,North
143,2020-05-23,Clothing,424.04,3,40.79,East
144,2020-05-24,Furniture,872.86,18,229.97,South
145,2020-05-25,Furniture,835.42,3,73.65,South
146,2020-05-26,Clothing,387.03,14,61.7,East
147,2020-05-27,Grocery,659.35,8,86.78,South
148,2020-05-28,Clothing,808.01,12,118.37,East
149,2020-05-29,Grocery,656.7,7,55.6,South
150,2020-05-30,Clothing,622.52,16,161.84,East
151,2020-05-31,Electronics,915.45,4,251.64,South
152,2020-06-01,Clothing,549.23,4,158.08,South
153,2020-06-02,Clothing,693.9,14,129.94,North
154,2020-06-03,Grocery,432.22,19,51.39,South
155,2020-06-04,Clothing,138.78,1,28.27,East
156,2020-06-05,Furniture,841.84,9,68.44,North
157,2020-06-06,Grocery,476.52,9,39.17,East
158,2020-06-07,Furniture,533.93,11,44.01,South
159,2020-06-08,Electronics,991.33,2,100.2,East
160,2020-06-09,Grocery,338.33,1,90.17,West
161,2020-06-10,Clothing,841.99,10,137.85,East
162,2020-06-11,Electronics,678.97,7,34.52,South
163,2020-06-12,Clothing,626.31,13,64.9,North
164,2020-06-13,Electronics,979.51,18,226.43,South
165,2020-06-14,Clothing,681.01,12,90.29,West
166,2020-06-15,Grocery,658.49,18,45.7,South
167,2020-06-16,Grocery,494.44,13,90.74,North
168,2020-06-17,Electronics,862.1,3,222.39,South
169,2020-06-18,Electronics,231.8,4,25.47,West
170,2020-06-19,Furniture,568.04,14,87.07,East
171,2020-06-20,Electronics,164.41,16,20.35,West
172,2020-06-21,Clothing,145.07,10,21.6,West
173,2020-06-22,Grocery,728.14,18,75.61,East
174,2020-06-23,Grocery,779.11,8,220.77,East
175,2020-06-24,Grocery,774.91,18,86.5,North
176,2020-06-25,Grocery,908.56,18,178.1,South
177,2020-06-26,Clothing,421.54,14,21.51,North
178,2020-06-27,Furniture,440.53,16,91.75,West
179,2020-06-28,Furniture,530.37,16,39.37,South
180,2020-06-29,Electronics,412.99,7,52.48,South
181,2020-06-30,Furniture,918.0,8,226.56,West
182,2020-07-01,Electronics,931.35,8,111.26,West
183,2020-07-02,Furniture,229.23,5,21.78,East
184,2020-07-03,Grocery,321.54,11,47.69,East
185,2020-07-04,Furniture,221.68,10,18.9,South
186,2020-07-05,Clothing,679.39,7,97.06,West
187,2020-07-06,Grocery,516.26,16,44.01,South
188,2020-07-07,Grocery,567.25,7,37.16,North
189,2020-07-08,Furniture,289.78,6,77.85,North
190,2020-07-09,Furniture,511.37,12,39.6,South
191,2020-07-10,Clothing,762.33,16,220.99,East
192,2020-07-11,Grocery,314.1,3,31.96,East
193,2020-07-12,Electronics,662.09,10,121.62,East
194,2020-07-13,Furniture,618.01,8,66.98,North
195,2020-07-14,Furniture,343.73,18,100.19,West
196,2020-07-15,Clothing,690.45,2,158.16,North
197,2020-07-16,Furniture,609.17,4,137.16,South
198,2020-07-17,Clothing,907.08,18,77.03,South
199,2020-07-18,Electronics,366.63,14,108.52,North
200,2020-07-19,Clothing,717.13,17,127.71,West
201,2020-07-20,Clothing,288.12,11,78.92,West
202,2020-07-21,Electronics,157.26,16,14.02,North
203,2020-07-22,Furniture,422.21,9,50.22,East
204,2020-07-23,Grocery,988.44,1,180.8,North
205,2020-07-24,Furniture,588.98,15,99.91,East
206,2020-07-25,Clothing,708.48,5,202.11,North
207,2020-07-26,Clothing,286.01,9,41.02,North
208,2020-07-27,Clothing,805.23,8,72.57,West
209,2020-07-28,Grocery,402.21,12,108.7,South
210,2020-07-29,Clothing,843.55,16,208.99,South
211,2020-07-30,Electronics,340.21,11,68.79,West
212,2020-07-31,Furniture,693.64,1,65.45,South
213,2020-08-01,Electronics,673.47,5,177.33,South
214,2020-08-02,Grocery,500.42,12,54.78,East
215,2020-08-03,Grocery,223.77,1,63.79,East
216,2020-08-04,Grocery,568.53,13,153.88,East
217,2020-08-05,Clothing,398.48,14,74.86,North
218,2020-08-06,Furniture,199.5,17,49.19,East
219,2020-08-07,Electronics,962.9,2,200.34,East
220,2020-08-08,Furniture,762.4,6,143.12,South
221,2020-08-09,Grocery,960.49,5,194.23,North
222,2020-08-10,Electronics,139.42,9,31.57,East
223,2020-08-11,Furniture,534.67,6,152.49,North
224,2020-08-12,Furniture,437.76,18,130.17,West
225,2020-08-13,Clothing,415.96,11,41.6,North
226,2020-08-14,Electronics,703.44,9,163.22,South
227,2020-08-15,Electronics,713.85,17,210.4,North
228,2020-08-16,Clothing,630.58,8,32.37,North
229,2020-08-17,Grocery,347.04,5,36.47,North
230,2020-08-18,Furniture,898.37,5,197.9,East
231,2020-08-19,Furniture,679.13,12,115.28,West
232,2020-08-20,Electronics,411.92,14,118.46,North
233,2020-08-21,Clothing,118.64,3,7.34,West
234,2020-08-22,Clothing,463.81,8,111.82,West
235,2020-08-23,Furniture,359.51,2,22.99,West
236,2020-08-24,Furniture,242.42,13,64.47,South
237,2020-08-25,Electronics,682.16,12,80.27,South
238,2020-08-26,Furniture,538.95,8,88.95,East
239,2020-08-27,Clothing,948.63,16,205.66,North
240,2020-08-28,Electronics,660.85,9,84.04,South
241,2020-08-29,Electronics,947.46,5,115.64,South
242,2020-08-30,Electronics,440.21,3,50.38,West
