date,category,sales,quantity,profit,region
2020-01-01,Furniture,,9.0,227.59,West
2020-01-02,Home Decor,,2.0,397.87,North
2020-01-03,Electronics,272.24,10.0,206.82,Central
2020-01-04,Electronics,252.99,3.0,-16.38,West
2020-01-05,Furniture,959.63,2.0,-97.41,East
2020-01-06,Groceries,994.42,3.0,116.38,East
2020-01-07,,331.51,7.0,373.8,
2020-01-08,Furniture,68.2,13.0,327.4,North
2020-01-09,Home Decor,613.43,13.0,105.06,North
2020-01-10,Home Decor,688.07,12.0,242.54,North
2020-01-11,Electronics,871.81,9.0,390.18,North
2020-01-12,Furniture,931.41,6.0,-44.18,Central
2020-01-13,Clothing,769.4,5.0,337.77,West
2020-01-14,Electronics,309.41,2.0,253.88,South
2020-01-15,Groceries,69.75,9.0,91.93,East
2020-01-16,Groceries,96.95,8.0,-9.27,North
2020-01-17,Groceries,480.03,5.0,-84.54,Central
2020-01-18,Clothing,986.01,13.0,258.04,East
2020-01-19,Clothing,365.85,5.0,-22.97,North
2020-01-20,,569.17,,265.85,South
2020-01-21,Furniture,191.82,2.0,,West
2020-01-22,Electronics,221.01,3.0,339.63,West
2020-01-23,Clothing,983.46,9.0,16.98,North
2020-01-24,,883.66,,355.47,East
2020-01-25,Groceries,180.39,4.0,36.02,East
2020-01-26,Electronics,726.29,6.0,265.96,West
2020-01-27,Home Decor,125.43,9.0,375.03,East
2020-01-28,Furniture,809.58,,219.43,West
2020-01-29,Furniture,219.89,4.0,197.62,South
2020-01-30,Furniture,292.25,11.0,-95.0,West
2020-01-31,Furniture,902.1,11.0,237.05,Central
2020-02-01,Clothing,294.3,9.0,149.26,South
2020-02-02,Home Decor,989.34,14.0,98.61,East
2020-02-03,Furniture,654.92,9.0,379.63,East
2020-02-04,Groceries,10.73,,-84.54,South
2020-02-05,Groceries,697.54,7.0,-60.8,East
2020-02-06,Groceries,369.19,1.0,-65.99,Central
2020-02-07,Clothing,316.76,6.0,270.48,South
2020-02-08,Furniture,566.13,3.0,339.66,South
2020-02-09,Home Decor,872.76,6.0,41.85,Central
2020-02-10,Clothing,371.23,3.0,-29.83,North
2020-02-11,Furniture,24.1,12.0,44.75,North
2020-02-12,,,7.0,267.75,South
2020-02-13,Clothing,59.71,8.0,240.79,South
2020-02-14,Furniture,530.64,13.0,-84.01,East
2020-02-15,Clothing,360.07,3.0,305.66,Central
2020-02-16,Home Decor,890.26,13.0,,
2020-02-17,Clothing,13.39,6.0,-55.03,Central
2020-02-18,Groceries,751.81,13.0,10.17,South
2020-02-19,Home Decor,483.51,4.0,193.88,West
2020-02-20,Electronics,433.06,9.0,-59.73,West
2020-02-21,Groceries,995.01,2.0,128.13,South
2020-02-22,Furniture,757.32,9.0,19.81,
2020-02-23,Furniture,88.15,4.0,70.8,
2020-02-24,Groceries,667.92,13.0,243.74,East
2020-02-25,Clothing,141.64,12.0,-37.61,South
2020-02-26,Furniture,265.66,7.0,116.75,Central
2020-02-27,Home Decor,785.01,14.0,-4.36,South
2020-02-28,Groceries,199.46,3.0,397.88,North
2020-02-29,Groceries,918.47,5.0,132.7,Central
2020-03-01,Clothing,736.72,12.0,298.22,West
2020-03-02,Groceries,,2.0,272.8,East
2020-03-03,Groceries,547.71,3.0,282.28,South
2020-03-04,Clothing,36.34,12.0,,East
2020-03-05,Clothing,217.66,13.0,206.16,South
2020-03-06,Home Decor,494.84,12.0,99.83,West
2020-03-07,Electronics,549.65,1.0,179.42,West
2020-03-08,Clothing,109.56,6.0,396.24,
2020-03-09,Clothing,968.48,9.0,320.27,North
2020-03-10,Electronics,204.54,12.0,-32.77,North
2020-03-11,Electronics,,6.0,7.15,North
2020-03-12,Electronics,536.41,6.0,373.82,South
2020-03-13,Groceries,751.92,3.0,238.16,Central
2020-03-14,Groceries,85.01,,-48.83,South
2020-03-15,Groceries,198.73,1.0,168.6,East
2020-03-16,Groceries,328.79,12.0,350.97,East
2020-03-17,Furniture,980.01,14.0,114.72,South
2020-03-18,Electronics,,10.0,270.84,West
2020-03-19,Clothing,931.98,7.0,118.49,West
2020-03-20,Groceries,214.19,4.0,80.15,South
2020-03-21,Electronics,286.95,12.0,-14.24,North
2020-03-22,Home Decor,616.0,12.0,262.83,East
2020-03-23,Groceries,979.0,4.0,-35.69,East
2020-03-24,Electronics,314.88,2.0,27.36,Central
2020-03-25,Groceries,43.76,7.0,130.41,South
2020-03-26,Furniture,926.39,4.0,202.89,East
2020-03-27,Electronics,,11.0,373.33,North
2020-03-28,Electronics,284.48,2.0,365.78,West
2020-03-29,Groceries,531.59,2.0,-37.33,West
2020-03-30,Home Decor,336.67,12.0,-74.12,East
2020-03-31,Furniture,622.32,7.0,273.9,South
2020-04-01,Clothing,666.79,13.0,263.73,East
2020-04-02,Home Decor,658.45,3.0,-15.27,East
2020-04-03,Electronics,110.52,5.0,128.72,North
2020-04-04,Clothing,56.38,12.0,146.26,Central
2020-04-05,Furniture,837.16,12.0,226.0,Central
2020-04-06,Clothing,18.06,5.0,-64.26,North
2020-04-07,Home Decor,65.13,4.0,252.86,East
2020-04-08,Clothing,746.94,8.0,-86.69,North
2020-04-09,Electronics,160.18,8.0,291.31,West
2020-04-10,Electronics,963.89,12.0,77.96,
2020-04-11,Home Decor,563.9,3.0,,Central
2020-04-12,Groceries,572.98,12.0,142.58,
2020-04-13,Groceries,268.34,5.0,89.95,West
2020-04-14,Groceries,882.42,1.0,362.41,West
2020-04-15,Groceries,623.05,13.0,100.92,
2020-04-16,Groceries,399.81,2.0,216.19,North
