order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
10001,11/18/2022,1984,Clothing,North,7,455.03,0.34,COD,2,3.3,2102.24
10002,01/16/2022,1794,Home,Central,1,196.19,0.08,Wallet,1,4.5,180.49
10003,03/30/2022,1214,Electronics,South,2,443.36,0.18,COD,10,1.1,727.11
10004,09/28/2022,1413,Home,Central,3,244.05,0.18,COD,5,2.9,600.36
10005,01/04/2023,1604,Health,East,8,297.07,0.32,COD,2,1.1,1616.06
10006,09/15/2022,1704,Health,Central,2,570.58,0.05,Card,9,4.7,1084.1
10007,01/07/2022,1833,Home,South,9,157.66,0.22,Wallet,4,1.7,1106.77
10008,06/01/2022,1151,Home,South,9,442.23,0.04,Card,12,1.6,3820.87
10009,07/17/2022,1390,Toys,Central,6,422.57,0.34,COD,12,2.2,1673.38
10010,11/25/2022,1952,Clothing,North,5,67.84,0.09,Wallet,2,2.8,308.67
10011,05/07/2023,1150,Electronics,West,3,246.28,0.21,COD,5,3.9,583.68
10012,05/10/2023,1504,Toys,West,3,423.98,0.25,Wallet,10,4.2,953.96
10013,01/22/2023,1766,Electronics,South,9,543.77,0.2,Wallet,1,1.2,3915.14
10014,02/23/2022,1240,Toys,East,8,122.08,0.25,Card,3,4.8,732.48
10015,02/27/2022,1788,Health,South,10,294.02,0.09,Wallet,5,4.2,2675.58
10016,10/23/2022,1034,Home,North,2,271.97,0.15,Card,5,3.0,462.35
10017,03/31/2023,1761,Home,North,3,459.91,0.25,Wallet,6,4.9,1034.8
10018,08/20/2022,1946,Beauty,West,7,458.27,0.05,COD,9,4.7,3047.5
10019,11/19/2022,1189,Home,Central,3,38.18,0.26,Card,2,1.2,84.76
10020,02/03/2022,1510,Home,South,2,35.55,0.02,Wallet,1,1.7,69.68
10021,09/24/2022,1965,Health,Central,7,300.93,0.29,COD,9,1.6,1495.62
10022,03/19/2022,1199,Toys,North,6,196.26,0.25,Card,4,1.7,883.17
10023,08/10/2022,1064,Electronics,South,9,507.16,0.04,Wallet,2,1.0,4381.86
10024,05/26/2022,1968,Clothing,East,5,493.53,0.18,COD,6,4.5,2023.47
10025,02/23/2022,1711,Electronics,East,5,530.46,0.15,Wallet,5,1.7,2254.45
10026,07/22/2022,1694,Health,North,1,540.49,0.22,COD,6,2.5,421.58
10027,05/20/2022,1007,Electronics,South,6,453.27,0.14,Wallet,7,1.2,2338.87
10028,04/12/2023,1218,Toys,East,8,186.95,0.19,COD,6,2.7,1211.44
10029,03/15/2022,1005,Beauty,West,1,180.05,0.07,Card,11,4.8,167.45
10030,07/12/2022,1272,Home,North,3,21.57,0.04,Wallet,2,2.8,62.12
10031,07/25/2022,1770,Toys,East,4,408.43,0.33,COD,9,4.8,1094.59
10032,12/04/2022,1439,Toys,Central,7,73.19,0.16,COD,11,1.6,430.36
10033,09/20/2022,1824,Electronics,West,6,450.34,0.11,Card,4,4.3,2404.82
10034,12/30/2022,1643,Electronics,West,3,390.85,0.17,Card,4,2.2,973.22
10035,05/21/2022,1239,Toys,Central,3,195.58,0.32,Wallet,4,2.6,398.98
10036,11/12/2022,1606,Toys,West,10,193.31,0.1,Wallet,8,2.0,1739.79
10037,08/12/2022,1054,Toys,West,10,52.12,0.06,Card,3,3.5,489.93
10038,04/11/2023,1256,Health,West,8,163.64,0.24,Wallet,6,2.2,994.93
10039,04/21/2023,1720,Health,South,5,310.09,0.24,Card,1,4.0,1178.34
10040,02/12/2023,1834,Electronics,East,9,464.53,0.16,Card,3,1.9,3511.85
10041,06/04/2022,1310,Toys,North,2,177.06,0.25,COD,12,3.5,265.59
10042,07/07/2022,1315,Health,West,6,421.81,0.12,Wallet,6,3.3,2227.16
10043,10/10/2022,1249,Home,Central,8,589.04,0.26,COD,7,1.2,3487.12
10044,08/25/2022,1738,Home,Central,6,38.88,0.18,Card,9,4.6,191.29
10045,04/08/2022,1748,Toys,East,5,453.67,0.13,Card,12,4.3,1973.46
10046,02/10/2023,1963,Electronics,Central,8,584.72,0.2,COD,5,3.0,3742.21
10047,03/24/2022,1400,Toys,North,8,109.21,0.2,COD,7,2.7,698.94
10048,04/10/2023,1612,Clothing,East,2,598.78,0.03,Wallet,12,1.3,1161.63
10049,08/31/2022,1331,Home,West,9,527.09,0.23,Wallet,1,1.2,3652.73
10050,01/08/2022,1119,Health,West,8,245.58,0.23,Card,4,2.6,1512.77
10051,04/10/2023,1913,Electronics,North,1,311.95,0.07,Wallet,5,2.1,290.11
10052,03/17/2023,1727,Clothing,North,2,166.73,0.21,Wallet,7,2.9,263.43
10053,03/01/2022,1609,Electronics,West,1,318.41,0.26,Card,10,1.8,235.62
10054,03/16/2023,1975,Health,East,1,499.16,0.2,Wallet,8,3.3,399.33
10055,02/17/2022,1688,Electronics,South,7,459.8,0.05,Wallet,11,4.7,3057.67
10056,03/19/2022,1062,Electronics,Central,5,432.71,0.24,COD,7,2.9,1644.3
10057,05/15/2022,1259,Health,North,7,141.71,0.3,COD,2,1.9,694.38
10058,12/13/2022,1888,Clothing,North,2,453.24,0.3,Wallet,10,3.2,634.54
10059,02/26/2022,1978,Home,West,5,166.8,0.06,Wallet,5,3.9,783.96
10060,03/01/2022,1370,Electronics,East,8,186.44,0.21,Card,8,4.4,1178.3
10061,08/10/2022,1866,Home,West,4,253.37,0.34,COD,8,1.8,668.9
10062,09/04/2022,1447,Clothing,East,6,377.97,0.09,COD,2,3.8,2063.72
10063,01/28/2023,1764,Toys,East,6,461.91,0.16,Card,4,3.8,2328.03
10064,04/13/2023,1140,Clothing,West,10,490.5,0.18,Wallet,12,3.1,4022.1
10065,02/11/2023,1257,Home,Central,3,31.88,0.07,Wallet,7,1.9,88.95
10066,01/17/2022,1817,Clothing,North,5,39.97,0.26,Wallet,4,2.3,147.89
10067,07/14/2022,1988,Toys,Central,6,96.87,0.07,Card,9,3.1,540.53
10068,05/29/2022,1171,Electronics,East,5,119.68,0.25,COD,8,2.6,448.8
10069,09/18/2022,1333,Beauty,West,6,241.15,0.07,Card,12,2.1,1345.62
10070,02/28/2022,1739,Toys,West,7,271.08,0.09,Card,7,3.3,1726.78
10071,09/27/2022,1090,Health,Central,8,30.35,0.3,Wallet,10,3.1,169.96
10072,06/30/2022,1128,Clothing,East,1,146.18,0.08,Card,10,2.2,134.49
10073,11/30/2022,1839,Health,East,7,251.14,0.25,Wallet,1,4.4,1318.49
10074,02/14/2022,1971,Health,North,4,397.31,0.22,COD,1,3.0,1239.61
10075,06/22/2022,1344,Health,South,7,496.3,0.22,Wallet,1,4.4,2709.8
10076,02/20/2022,1577,Clothing,East,10,312.07,0.24,Card,1,2.3,2371.73
10077,03/08/2023,1701,Clothing,Central,7,579.27,0.11,Wallet,9,2.6,3608.85
10078,02/04/2023,1443,Home,South,6,292.74,0.09,Wallet,12,2.1,1598.36
10079,01/23/2023,1194,Beauty,West,3,171.97,0.32,Card,12,1.3,350.82
10080,01/11/2022,1771,Health,West,6,275.27,0.03,Wallet,3,1.6,1602.07
10081,02/04/2023,1195,Home,North,3,272.0,0.19,Wallet,8,4.8,660.96
10082,06/21/2022,1376,Clothing,West,9,253.06,0.21,Card,1,1.3,1799.26
10083,01/14/2023,1727,Clothing,North,9,113.62,0.06,Card,4,4.6,961.23
10084,01/17/2022,1119,Home,West,10,476.02,0.18,Card,7,1.7,3903.36
10085,07/05/2022,1362,Clothing,West,9,351.02,0.04,Wallet,5,1.3,3032.81
10086,04/29/2022,1053,Electronics,Central,8,426.7,0.25,COD,12,2.2,2560.2
10087,04/29/2022,1210,Home,North,6,111.33,0.03,Wallet,6,3.9,647.94
10088,04/30/2023,1224,Toys,South,3,424.19,0.19,COD,6,3.3,1030.78
10089,12/02/2022,1680,Home,East,2,305.71,0.06,COD,10,3.5,574.73
10090,01/15/2022,1291,Toys,Central,5,310.56,0.04,Wallet,10,3.4,1490.69
10091,09/11/2022,1297,Electronics,East,6,341.08,0.11,Wallet,1,4.4,1821.37
10092,09/15/2022,1352,Home,South,1,138.43,0.15,COD,12,1.3,117.67
10093,05/15/2022,1132,Beauty,West,3,377.03,0.28,COD,2,3.8,814.38
10094,10/09/2022,1960,Beauty,West,4,324.35,0.29,Wallet,9,4.5,921.15
10095,06/19/2022,1117,Electronics,East,9,109.38,0.27,Card,1,2.5,718.63
10096,12/13/2022,1949,Clothing,South,8,470.11,0.25,Card,10,3.9,2820.66
10097,08/23/2022,1603,Toys,North,5,205.0,0.17,COD,9,1.3,850.75
10098,10/02/2022,1517,Home,North,2,483.12,0.01,COD,2,5.0,956.58
10099,01/13/2022,1290,Toys,East,3,136.53,0.29,Wallet,12,4.7,290.81
10100,01/11/2023,1973,Beauty,East,9,239.87,0.03,Wallet,2,3.6,2094.07
10101,04/23/2023,1186,Toys,East,6,184.11,0.32,Card,12,2.9,751.17
10102,02/20/2022,1430,Clothing,West,7,295.29,0.33,Wallet,7,2.4,1384.91
10103,08/31/2022,1389,Home,North,10,173.79,0.35,Card,1,2.5,1129.63
10104,03/10/2022,1457,Clothing,West,8,158.87,0.26,Card,12,4.6,940.51
10105,01/09/2023,1162,Clothing,North,9,558.33,0.31,COD,4,1.5,3467.23
10106,11/29/2022,1959,Toys,East,6,32.63,0.1,Wallet,3,1.7,176.2
10107,07/23/2022,1538,Electronics,North,1,58.13,0.31,Card,9,4.2,40.11
